7776	49
-0.257003	1.22715	-6.7647
1.72898	0.699422	-8.19414
-0.26591	1.36749	-6.70216
1.75287	-0.00976323	-4.85951
-0.305827	0.957221	-8.5041
-0.183897	-0.0918312	-8.30175
-0.677157	0.420678	-1.8434
1.58774	0.225302	-3.36356
0.786608	-0.349893	-3.59641
1.56266	0.218337	-3.09082
0.934516	1.40349	-2.99188
-0.193806	-0.286733	-2.74919
-0.194323	-0.289956	-2.75837
1.60316	0.309893	-3.39092
-0.903757	0.107598	-3.49791
-0.917014	0.113457	-3.33213
1.59442	0.153388	-3.40262
1.58782	0.104447	-3.32382
1.60256	0.169369	-3.15668
1.54462	0.272815	-2.90473
1.52806	0.258391	-2.64952
1.67403	0.111612	-3.93751
1.5816	0.220108	-3.04671
1.56266	0.218337	-3.09082
1.56842	0.189432	-3.05947
0.96385	1.43311	-2.97071
1.572	0.0973064	-3.02779
-0.644704	0.394611	-1.83811
1.6664	0.225134	-4.51614
-0.956487	0.337533	-3.67196
1.7168	0.269183	-4.58954
-0.909059	0.252834	-3.68819
1.72495	0.245293	-4.77397
1.5235	1.09069	-6.80415
1.78997	0.259829	-5.43885
-0.559616	1.13545	-3.44213
-0.57361	1.17332	-3.45031
1.59785	1.2621	-4.91086
1.19896	1.44864	-4.97112
1.80916	0.258398	-5.37654
1.32974	1.16044	-5.05492
1.65677	0.548449	-7.61392
1.26347	1.34501	-5.09998
-0.0368734	-0.221178	-3.88857
1.33969	1.11201	-5.04969
-0.306518	1.39419	-4.79638
-0.897902	0.343793	-3.70624
-0.925682	0.23214	-3.68702
-0.858916	-0.00718255	-3.72076
1.49314	1.07174	-4.91315
0.819582	-0.236268	-3.42182
-0.928881	0.349024	-3.69955
-0.63324	1.4812	-4.65034
-0.363321	0.848236	-8.45016
1.65259	0.0292178	-4.15751
1.42157	1.42682	-4.87592
1.24941	1.44024	-4.91421
0.842528	-0.252261	-3.40974
-0.043089	-0.221243	-3.27649
0.858781	-0.335561	-3.26519
-0.393755	0.0930487	-5.44456
0.77795	-0.279233	-3.41736
1.79603	0.293359	-5.3913
1.58136	0.277311	-3.18523
1.56139	0.321657	-2.98474
1.54947	0.155455	-2.84458
1.5374	0.329733	-2.69646
0.785634	-0.294024	-4.45626
0.739301	-0.295522	-3.32996
0.828455	-0.185823	-2.26056
-0.452642	1.40368	-3.55814
1.28683	1.40234	-2.82509
0.811271	-0.219903	-3.134
0.712357	-0.299808	-2.57782
-0.637509	1.47648	-4.64632
-0.108132	-0.295735	-13.5697
-0.208884	-0.190998	-3.14008
0.790206	-0.193246	-2.26866
-0.0230554	-0.14586	-4.30395
1.5502	0.338104	-2.8683
-1.01388	-0.159658	-2.38614
-0.968074	0.0599293	-2.47634
-0.96352	0.224472	-3.65241
-0.971272	0.0589638	-2.59312
-0.825284	0.397525	-3.67063
-0.718807	1.57258	-3.37532
1.58089	0.277446	-3.18402
1.65951	0.233793	-4.03881
-0.537276	1.41277	-4.95565
1.72472	0.890755	-7.64841
-0.932931	-0.210001	-3.21417
-0.647179	1.34439	-4.65864
0.749109	-0.195093	-2.33046
-0.177256	-0.313469	-2.79067
-0.301444	-0.22147	-2.69525
-0.756881	0.231548	-3.60886
-0.540017	-0.305786	-2.63397
0.801043	-0.295431	-4.33683
-0.708695	0.0466627	-2.34255
-0.360855	-0.195203	-2.63994
0.747366	-0.223981	-3.45618
-0.706195	-0.186427	-1.96496
-0.661603	-0.258452	-1.8783
-0.598653	-0.287608	-2.48319
1.25157	1.07485	-6.75435
-0.702912	1.46362	-3.3227
-0.455103	1.39222	-4.83948
-0.50123	-0.191838	-7.81313
1.02704	1.28011	-3.04712
2.01361	0.189828	-7.16498
-0.116744	-0.172336	-7.43637
-0.407356	-0.20605	-2.60754
-0.415899	-0.210748	-2.62303
-0.418855	1.40498	-3.50668
-0.200873	-0.288517	-7.18486
0.808661	-0.136073	-2.73923
0.812338	-0.137107	-2.74466
-0.447399	-0.309951	-2.59214
0.957525	1.33937	-3.04211
-0.375851	0.665937	2.27242
-0.870735	0.289232	-3.69356
-0.374838	0.653265	1.92453
-0.709121	1.4854	-3.32741
0.944753	1.49301	-2.96375
0.944753	1.49301	-2.96375
-0.273464	-0.186943	-3.06056
-0.201494	-0.214099	-2.73073
-0.559415	1.47656	-4.67959
-0.774219	0.446355	-3.8599
-0.902182	0.397531	-3.63382
-0.460975	0.151986	-3.5593
-0.863247	0.0303234	-3.76703
0.780878	-0.193066	-2.28935
0.781331	-0.182766	-2.31456
-0.984083	0.208569	-2.51724
1.19928	1.46101	-2.7389
-0.980568	0.203652	-2.46953
-0.593275	1.69015	-2.38583
0.749848	-0.221137	-2.75598
1.02906	1.53448	-2.83972
-0.72344	1.40552	-4.61531
-0.399326	-0.121512	-4.67803
-0.643469	-0.268534	-2.0852
-0.598124	1.37888	-4.84627
1.57933	0.307315	-3.43886
-0.546711	1.38808	-7.25145
0.75731	-0.251432	-3.4285
0.781797	-0.194051	-2.29069
-0.34284	1.42966	-4.96237
-0.17846	-0.206855	-2.77628
-0.364462	1.10165	-8.16337
1.57306	0.339746	-3.04288
0.959908	1.31674	-3.04869
1.16116	1.15835	-2.94801
-0.833315	0.0125951	-3.86223
0.817009	-0.207283	-2.25786
0.817009	-0.207283	-2.25786
1.657	-0.222942	-6.29796
0.749601	-0.195367	-2.33189
0.720194	-0.185588	-2.30909
1.66848	0.257405	-4.18973
1.67779	0.221685	-4.11259
0.000159057	-0.101973	-7.05152
0.825382	-0.311541	-2.86717
-0.80598	0.361746	-3.67642
-0.80654	0.360626	-3.67849
-0.895249	0.141572	-3.28849
-0.509604	-0.077998	-4.75236
-0.0402632	-0.212407	-3.20481
-0.830492	-0.302454	-3.49979
-0.0860342	-0.336963	-3.2793
-0.916212	0.102905	-3.22109
0.7254	-0.1657	-2.35894
-0.917371	0.34017	-3.66749
-0.850293	0.0417545	-3.73656
-3.18739	1.20219	5.02521
0.80044	-0.19153	-2.28416
0.777311	-0.220023	-2.71491
-0.063027	-0.236864	-3.24025
-0.669775	0.367548	-1.84807
-0.954878	-0.13612	-2.48773
-0.980925	-0.0301617	-2.56353
-0.673265	0.367585	-1.84999
-0.987542	0.239031	-2.52691
-0.983552	0.136112	-2.58029
-1.01715	0.164189	-2.60784
1.26818	1.38651	-5.09095
1.67449	-0.120958	-5.19428
1.61498	0.0202723	-3.19743
1.53923	0.279016	-2.69601
1.60359	0.302267	-3.43628
1.54554	0.168494	-2.7907
1.53386	-0.169266	-5.58332
-0.464055	1.24977	-3.45771
-0.714452	1.55954	-3.37321
-0.342449	1.39684	-4.80896
-0.610104	1.50956	-3.24528
-0.54415	-0.31065	-2.54308
-0.774219	0.446355	-3.8599
-0.640944	1.53191	-3.26337
0.818016	-0.222214	-2.26425
1.42831	1.34805	-5.07875
-0.648515	1.54669	-3.28297
0.764672	-0.222939	-2.73452
1.24302	0.2805	-2.98634
0.776874	-0.252352	-3.16136
-0.144159	-0.284478	-2.81475
-0.792209	-0.0860596	-3.89299
0.73444	-0.267003	-3.22072
1.2069	1.20109	-2.91039
1.17749	1.39885	-2.74803
-0.409142	1.3565	-4.64397
0.274849	-0.316071	-2.54769
0.753264	-0.184785	-2.82028
-0.369879	-0.183726	-3.15636
-0.321291	-0.19925	-2.73273
0.926408	-0.263865	-3.42375
0.942209	1.33018	-3.04499
-0.888494	-0.234706	-3.94083
1.58182	-0.263378	-2.97528
-0.40479	-0.212143	-2.641
1.37515	1.47572	-4.94967
-0.543349	-0.225394	-3.35374
0.891394	-0.206387	-3.45993
1.61225	0.00895857	-5.59192
0.760745	-0.276374	-2.79175
0.913655	1.35962	-2.96958
1.09626	1.56002	-2.82491
1.22	1.20129	-2.90745
-0.597698	-0.284685	-2.50333
1.551	0.325379	-2.84212
0.725818	-0.155287	-2.37562
0.955069	1.49396	-2.8529
-0.574661	-0.292478	-2.64236
0.767034	-0.150662	-2.37856
0.361568	-0.239989	-1.69123
1.58182	-0.263378	-2.97528
1.60876	0.187744	-3.38152
-0.955144	0.0919426	-2.59321
-0.850337	-0.00900748	-3.70153
0.750463	-0.12542	-2.36961
1.36315	1.08364	-5.04369
0.774389	-0.202259	-2.72517
-0.733291	1.37464	-3.40681
-0.554336	1.45319	-4.63458
-0.579972	1.34034	-4.72226
1.57847	1.25592	-4.97432
-2.47806	0.721372	3.68558
1.55788	0.102679	-2.8769
-0.613493	0.567596	-1.84168
-0.977796	-0.0728204	-2.52551
0.751141	-0.259908	-3.54863
-0.407913	1.32681	-4.79491
-0.54441	-0.311982	-2.54688
-0.674449	1.73378	-2.44298
-0.202902	1.24227	-6.65427
0.771077	-0.338985	-3.29345
-0.589233	1.67689	-2.3746
-0.763673	1.34355	-3.53187
1.03609	1.4948	-2.77264
-0.317589	-0.195865	-2.71218
-0.697587	-0.217096	-1.97395
-0.860485	0.135068	-3.86661
-0.695117	-0.233134	-1.96166
-0.695076	-0.181961	-1.96745
0.810222	-0.133349	-2.68441
-0.58079	-0.25917	-2.48473
-0.688136	0.260695	-1.83883
-0.777848	1.45223	-3.32619
-0.757047	1.49171	-2.24423
0.229985	-0.268845	-2.16507
-0.671929	-0.177227	-2.01845
-0.682601	-0.212566	-2.09333
-0.912635	0.0671924	-3.14164
0.915369	1.50683	-2.94676
-0.920372	2.47252	-2.74995
1.18866	1.40593	-2.73011
-0.710164	1.51883	-3.37732
1.22134	1.18505	-2.89014
-0.299427	1.40865	-4.53415
-0.690824	0.405895	-1.84006
-0.536587	1.28584	-6.56274
-0.503694	0.781583	-4.71602
-0.857327	0.138874	-3.64996
-0.935571	0.0824491	-2.57547
0.874795	-0.20939	-3.35735
0.912449	-0.209977	-3.36784
0.771707	-0.113623	-2.41753
0.750583	-0.182581	-2.81279
0.718831	-0.23653	-3.09115
1.18562	1.40707	-2.74598
0.900832	1.31994	-2.97398
-0.959982	0.193554	-2.57193
1.48869	-0.0433476	-5.07274
-0.195796	0.565684	1.85242
-0.322841	0.591018	1.99977
0.706849	-0.203005	-2.3631
0.706849	-0.203005	-2.3631
-0.686269	-0.166	-1.99785
0.796751	-0.286062	-2.43709
1.28026	1.14907	-4.97776
-0.409483	-0.216039	-2.65795
-0.414824	0.622494	1.84504
1.24718	1.38909	-2.82824
1.27007	1.35161	-2.86162
0.971345	1.23467	-2.96127
-0.151886	0.624201	1.78912
-0.243978	0.591069	1.65347
-0.981948	-0.0100106	-2.6303
-0.814607	-0.0902348	-3.97271
0.934686	1.3244	-3.03263
-0.87866	0.0426973	-3.70197
-0.573887	1.32929	-4.68662
-0.972613	-0.128135	-2.51024
-0.684988	-0.264548	-1.97593
0.940253	1.42606	-2.98989
0.95256	1.41538	-2.98726
-0.513404	1.49088	-3.21244
-0.722804	1.4638	-3.29858
-0.766482	1.43388	-3.29576
1.04045	1.22071	-2.94282
-0.507649	1.42544	-3.35959
-0.378882	1.41171	-3.34162
1.16032	1.14197	-2.94715
-0.58075	1.12205	-3.316
-0.571709	1.48866	-4.56244
-0.507208	1.52578	-4.68453
-0.465399	1.48117	-4.6549
1.53164	1.41429	-4.8831
1.20861	1.43271	-5.00445
1.60187	1.36834	-4.94835
1.61842	1.3685	-5.02317
-0.998423	0.351633	-2.35892
-0.985578	0.349096	-2.52775
-1.03479	0.444858	-3.67587
-0.936626	0.390048	-3.67051
-1.05042	0.361285	-3.67497
-0.988076	0.229577	-2.48522
1.59148	0.324715	-3.33509
1.59148	0.324715	-3.33509
1.6146	0.323036	-3.44722
-0.977735	0.207474	-2.58065
-0.989173	0.188243	-2.47235
-0.880453	0.26771	-3.69951
1.59077	0.223376	-2.97024
-0.951965	0.246378	-3.66636
1.67867	0.196824	-4.07986
1.68469	0.201683	-4.09187
1.69303	0.202207	-4.10598
1.39855	0.226884	-5.03248
1.68351	0.144774	-3.85845
1.70972	0.135699	-4.37294
-0.902103	0.105542	-3.43919
-0.95977	0.0771635	-2.7156
-0.88384	0.0740541	-3.66018
1.64024	0.0793251	-3.99519
-0.889262	0.0684228	-2.91594
-0.826226	0.0432243	-3.82143
-0.912648	0.0477655	-3.33653
3.18143	0.0264551	-4.76941
1.48852	0.0632078	-2.79351
-0.920942	-0.213704	-3.96499
0.781943	-0.139136	-2.78674
-0.181032	-0.223373	-3.15141
0.952583	-0.162507	-2.79309
-0.898654	-0.294094	-3.48799
0.811224	-0.160046	-2.6954
0.803154	-0.283772	-3.41019
0.846683	-0.113232	-2.31973
0.777008	-0.19055	-2.73219
0.777008	-0.19055	-2.73219
0.780384	-0.212938	-2.82954
0.843856	-0.19246	-2.69762
0.794033	-0.11536	-2.27542
-0.220809	-0.208241	-2.72967
0.813427	-0.291542	-3.19306
-0.999081	-0.17571	-2.44415
-0.549242	-0.257835	-2.63245
0.819618	-0.309664	-2.85718
0.797484	-0.180771	-2.29574
0.269183	-0.303899	-2.73009
-0.553104	-0.290559	-2.62563
-0.395208	-0.27329	-1.89618
-0.691087	1.58717	-2.40669
1.19832	1.45949	-2.74694
1.21405	1.4155	-2.74511
0.990049	1.45171	-2.84454
0.984616	1.40715	-2.96213
-0.489474	1.55637	-3.32377
-0.723168	1.5679	-3.35168
-0.720129	1.53063	-3.32272
1.0444	1.36161	-3.07686
-0.594479	1.4552	-3.29191
-0.665187	0.410895	-1.83847
1.15635	0.787863	-2.99953
1.39705	1.46068	-4.86331
-0.333378	1.36089	-4.83082
1.54091	1.3485	-4.87563
-0.662371	0.321262	-1.84062
1.39928	1.38688	-5.14969
-0.673845	0.309178	-1.84131
-0.651127	0.30941	-1.84364
-0.651127	0.30941	-1.84364
-0.653598	0.301683	-1.83412
-0.653598	0.301683	-1.83412
1.49745	1.10927	-5.00092
-0.654528	0.260278	-1.84192
-1.00203	0.29554	-2.3679
-0.813787	0.463545	-3.65343
-1.00919	0.233597	-2.28732
-1.00831	0.234192	-2.2867
-0.680897	0.244351	-2.37252
-0.990518	0.236316	-2.47253
-0.971442	0.216331	-2.53184
-1.00039	0.188973	-2.29062
1.56698	0.20002	-2.84794
1.65941	0.21988	-3.94037
-0.932069	0.159905	-3.10426
-0.924597	0.15433	-3.08959
-0.971216	0.111802	-2.56168
-0.941161	0.125007	-3.17801
-0.925732	0.123949	-3.16667
-0.900723	0.131996	-3.51823
1.55	0.0766178	-2.85082
0.296237	0.088438	-1.48134
1.64955	0.0324963	-3.8589
1.64955	0.0324963	-3.8589
1.53986	0.0502285	-2.9729
1.64438	0.0458312	-3.16725
-0.893032	0.00921842	-3.2877
-0.63583	-0.0566443	-4.74768
-0.63583	-0.0566443	-4.74768
-0.955336	0.0232897	-2.55656
-1.01685	0.0263642	-2.28658
-0.949744	-0.16917	-3.53977
-0.294448	-0.171418	-3.07074
-1.05582	-0.157372	-2.88916
-0.138797	-0.201338	-3.1709
0.774205	-0.158031	-2.82553
-0.317756	-0.175112	-2.72182
-0.848256	-0.29544	-3.3999
-1.02904	-0.139834	-2.4262
-0.30919	-0.206762	-2.85338
-0.300659	-0.182231	-2.71134
0.771897	-0.114637	-2.36087
0.763227	-0.112306	-2.34711
0.80122	-0.113848	-2.31867
0.804971	-0.18793	-2.6838
1.58287	-0.241632	-2.9798
-0.996521	-0.1581	-2.40378
0.797266	-0.204378	-2.73434
1.59518	-0.251967	-2.97681
-0.153096	-0.302234	-3.1615
-1.01894	-0.154837	-2.29204
0.864243	-0.219415	-2.7005
-1.02196	-0.160808	-2.28045
-1.01392	-0.172965	-2.3419
-1.00326	-0.170195	-2.33245
-0.721663	-0.0757715	-1.8648
0.749489	-0.166786	-2.30323
-0.557892	-0.271556	-2.61917
0.769697	-0.180794	-2.22599
0.817537	-0.196546	-2.26315
0.846306	-0.194768	-2.25859
0.236182	-0.268554	-2.43048
-0.547327	-0.304933	-2.49054
0.254342	-0.282809	-2.44232
-0.590217	-0.244105	-1.80523
0.973523	1.51011	-2.8546
0.973523	1.51011	-2.8546
-0.617452	1.60275	-3.4359
1.01812	1.35556	-3.05219
-0.645963	0.54606	-1.84254
-0.458902	1.51053	-3.38218
1.06167	1.28909	-3.03331
1.05959	1.27562	-3.06243
1.09944	1.0628	-2.95544
-0.441059	1.31293	-3.47511
1.11805	1.04312	-2.97591
1.18466	0.789546	-2.97931
-0.585359	0.890948	-3.45428
-0.577732	0.880612	-3.42445
-0.70643	1.29702	-4.75672
1.25549	1.37646	-5.05633
-0.363344	1.26335	-4.86421
1.60015	1.32211	-5.06328
-1.00345	0.347196	-2.4478
-0.983435	0.328393	-2.55157
-0.824634	0.437524	-3.6673
-0.824846	0.436239	-3.66722
1.57587	0.327005	-2.95997
-0.993848	0.239422	-2.43577
-0.963627	0.37751	-3.65133
-1.01209	0.203655	-2.2553
1.54537	0.244868	-2.78868
1.62908	0.275171	-3.75222
-0.926263	0.165318	-3.16946
-0.926227	0.165311	-3.16943
1.66123	0.200884	-3.89445
1.65454	0.201344	-3.88469
-0.898184	0.14196	-3.09178
-0.852607	0.154694	-3.70928
-0.921938	0.143383	-3.23308
-0.969057	0.101711	-2.58163
1.68758	0.0607568	-3.95551
-0.65601	-0.0111461	-4.86722
-0.464228	-0.0352835	-4.72926
-0.453886	-0.0329007	-4.66165
1.60386	-0.0156648	-3.29289
-1.01018	-0.162203	-3.12836
-0.853999	-0.220289	-3.49145
-1.00929	-0.193123	-3.18217
-1.01565	-0.102289	-2.383
-1.06394	-0.167832	-2.82814
-0.979292	-0.131046	-2.57307
0.802189	-0.245478	-3.25241
-0.125428	-0.258883	-3.17154
-0.903949	-0.286664	-3.29596
-1.00497	-0.146442	-2.40953
0.805189	-0.113119	-2.30607
-0.710537	-0.129847	-2.31887
-1.0352	-0.227655	-2.80529
0.886831	-0.195333	-2.72761
-1.00403	-0.167124	-2.45606
0.81124	-0.290628	-3.1103
-0.950843	-0.18822	-2.49286
1.60215	-0.267611	-3.02567
0.732893	-0.153851	-2.36677
0.717963	-0.221099	-2.37705
0.787985	-0.282098	-2.42253
-0.692273	-0.17069	-1.9693
-0.667108	-0.209496	-1.99099
-0.66987	-0.226484	-1.99238
-0.662877	-0.223891	-1.98478
-0.674765	-0.243339	-1.99907
-0.696537	-0.260974	-1.96626
0.926839	1.50469	-2.97695
0.99352	1.46614	-2.97092
1.18863	1.16117	-2.95639
1.10799	1.07155	-2.97161
1.29632	1.44864	-4.8867
-0.354941	1.31051	-4.84595
-0.357455	1.31981	-4.86074
-0.999624	0.272519	-2.38791
-0.997347	0.270254	-2.42152
-0.903456	0.380226	-3.66768
1.24335	0.280223	-2.98684
-0.861716	0.334181	-3.70196
-0.982389	0.289993	-3.67805
1.67137	0.275737	-4.0591
1.67137	0.275737	-4.0591
1.73995	0.283751	-4.55205
1.57373	0.156682	-3.16445
1.65809	0.131897	-3.78898
-0.95747	0.0872157	-2.59515
-0.659826	0.0459213	-2.36416
-0.756488	-0.181977	-5.44881
-1.06169	-0.111417	-2.84916
-0.0395391	-0.221335	-3.89199
-0.308885	-0.157141	-3.07043
-0.926336	-0.251299	-3.08744
-0.15321	-0.241214	-2.91495
0.824857	-0.157497	-2.26681
-0.716737	-0.221654	-1.97777
-0.709562	-0.232132	-1.96821
1.02319	1.46418	-3.08712
-0.599839	1.48514	-3.24401
-0.749488	1.46272	-3.32713
1.06549	1.24659	-3.0129
1.05975	1.23785	-3.00216
-0.508895	1.26118	-3.4925
-0.365137	1.50038	-4.71851
1.49339	1.4196	-4.89832
1.54458	1.14983	-4.99461
-0.99847	0.293095	-2.38529
1.52091	0.249849	-2.83553
1.62786	0.302134	-3.77508
1.66191	0.280429	-3.88041
1.66176	0.28079	-3.88036
1.63159	0.221615	-3.72905
1.69042	0.15186	-4.05848
1.57032	0.128401	-2.7995
1.57032	0.128401	-2.7995
-0.980112	0.0669579	-2.56757
1.50179	0.0118653	-2.69034
-0.965749	-0.148955	-2.55346
-0.931579	-0.245996	-3.19233
0.824094	-0.170411	-2.74069
-0.592489	-0.248991	-2.47912
-0.570221	-0.317085	-2.49245
-0.686693	-0.254377	-2.08333
-0.41346	-0.264917	-1.88962
-0.571776	-0.271542	-1.85918
1.13805	1.55128	-2.83183
1.0694	1.18667	-2.96404
-0.582697	1.40048	-3.38795
-0.43947	1.36579	-3.50504
-0.97854	0.173524	-2.57038
1.59173	0.215594	-3.22174
-0.908634	0.148535	-3.36786
1.76942	0.217743	-4.51546
1.65607	0.185227	-3.8123
1.63478	0.0809958	-3.83968
-0.97155	0.0243219	-2.53966
-0.92712	-0.114602	-3.39124
-0.391693	-0.217868	-2.75231
-1.01752	-0.172703	-2.42747
-0.512898	1.1746	-3.45161
-0.344699	1.16158	-4.69199
1.26484	1.27808	-5.04025
1.29446	1.1494	-5.10213
-0.990934	0.324911	-2.51965
1.55001	0.31137	-2.81849
-0.863152	0.211059	-3.69806
1.55787	0.168894	-2.80422
-0.828937	-0.194307	-3.98097
-0.924834	-0.196793	-3.39754
-0.985075	-0.110602	-2.56463
0.723382	-0.184161	-2.41071
1.53698	0.261234	-2.74396
1.53293	0.219422	-2.81237
1.82278	0.136186	-5.23098
1.82325	0.135327	-5.22876
1.80121	-0.0232752	-5.16786
1.5393	-0.0222073	-4.19307
-0.901042	-0.271199	-3.38041
-0.625947	1.46539	-3.25095
-0.519375	1.50466	-3.32152
-0.958961	0.257551	-2.55401
-1.00216	0.226253	-2.50801
-0.921967	0.212071	-2.56016
1.15745	-0.0309833	-2.70993
-1.01079	-0.0690204	-2.34725
0.739349	-0.26208	-2.89961
-0.465691	1.48394	-3.47892
1.13894	1.1971	-2.99828
1.14474	1.19811	-3.00359
-0.977471	0.254086	-3.48667
1.27665	0.244077	-3.34447
-0.995829	-0.103024	-2.41376
0.750209	-0.230561	-2.53642
-0.591355	-0.270639	-2.56959
-0.502488	1.25517	-3.76943
-0.306568	0.220864	-2.94701
-0.620676	-0.0673743	-3.2326
-0.904912	1.66939	-2.36294
-0.904912	1.66939	-2.36294
-1.07258	0.962686	-1.79193
-1.07258	0.962686	-1.79193
0.924721	1.46621	-2.95063
-0.542539	1.61888	-3.41001
1.26891	1.33197	-2.8922
-0.702637	1.53567	-3.42231
-0.784817	1.46366	-3.34785
1.11577	1.07977	-2.98762
-0.721892	0.526274	-1.82191
-0.813968	0.437062	-1.83709
-0.711552	0.440416	-1.84051
-0.718199	0.441149	-1.84624
-0.66479	0.424811	-1.83171
-0.305035	1.27289	-4.79112
-0.707201	0.416531	-1.85381
-0.737238	0.378	-1.84102
-1.03469	0.400458	-1.99622
-1.02933	0.384902	-1.98943
-1.03559	0.38795	-1.99648
-0.743111	0.35079	-1.84987
1.4341	1.02077	-4.98296
1.41408	0.994828	-4.99692
-0.750876	0.311387	-1.84755
-0.742357	0.298052	-1.84817
-1.0591	0.240248	-1.79602
-0.89347	0.345345	-3.65311
-0.98638	0.22488	-2.48677
-1.00825	0.174165	-2.12803
-1.00815	0.174195	-2.12792
-1.01381	0.16935	-2.12198
1.64717	0.23042	-3.87734
-0.72601	0.133856	-1.86561
1.43828	0.241825	-4.99975
1.54912	0.154856	-2.86797
-0.955246	0.0724385	-2.59499
-0.926159	0.0700631	-3.24075
-0.96102	0.0658087	-2.72892
-0.707707	0.0728453	-2.34826
-0.701349	0.0731053	-2.33763
-0.888313	-0.0065044	-3.66237
1.72311	-0.0581719	-4.40555
-1.03319	0.0134399	-2.10647
-1.03319	0.0134399	-2.10647
1.19878	-0.0255916	-2.67324
-1.04002	-0.0907001	-2.79288
-1.02362	-0.0459928	-2.10486
-1.00689	-0.148267	-2.41262
-1.03708	-0.138479	-2.09979
0.733527	-0.168544	-2.37879
0.751791	-0.171978	-2.34421
-1.0216	-0.15864	-2.09141
0.821576	-0.170274	-2.2623
-0.201231	-0.312553	-2.75589
-0.580326	-0.274276	-2.45132
0.814934	-0.210285	-2.23194
-0.711361	-0.25802	-1.96377
-0.714866	-0.247025	-1.7872
0.258663	-0.247697	-1.81876
-0.225375	-3.00946	-4.69097
-0.531215	1.85311	-2.23268
-0.558728	1.82403	-2.39014
-0.560421	1.70783	-2.34755
-0.698742	1.50442	-2.29785
1.30219	1.38878	-2.85453
0.968172	1.39346	-3.03613
-0.744099	1.30011	-3.36187
-0.605237	1.14775	-3.42372
1.12756	0.868768	-2.96893
-1.02373	0.424725	-2.0685
-0.185882	1.262	-6.55959
-1.05879	0.296111	-1.78951
-1.06166	0.277145	-1.76463
-1.05818	0.275195	-1.79575
-0.760073	0.267579	-1.85591
-1.05879	0.240798	-1.77744
-1.05906	0.236587	-1.76675
1.55049	0.243532	-2.79252
1.67254	0.203962	-4.01029
1.61384	0.183417	-3.26103
1.65236	0.18415	-3.31765
1.58967	0.13454	-3.42993
1.55895	0.12576	-2.99491
-0.976157	0.0752828	-2.59399
-0.911695	0.0490142	-3.09439
-0.923499	0.0353588	-3.24097
-0.6401	-0.0377764	-4.99267
-1.12308	-0.045983	-2.06997
-1.11313	-0.0542441	-2.05448
-1.12781	-0.057471	-2.08358
-1.05165	-0.0578641	-2.09143
-1.05886	-0.171646	-2.91437
-1.05868	-0.171768	-2.91437
-0.862341	-0.253778	-3.04892
-0.833559	-0.244116	-2.97764
-1.02186	-0.168011	-2.07472
-0.677039	-0.179539	-2.02759
-1.00304	-0.213362	-2.06651
0.87748	-0.258726	-2.29638
0.894517	-0.266577	-2.3268
-0.670693	-0.231206	-1.97391
-0.665073	-0.228605	-1.9626
-0.680182	-0.254426	-2.04576
1.11146	-0.256673	-2.04522
0.200449	-0.257033	-2.0157
0.193835	-0.235037	-1.86385
-0.167822	-0.252609	-1.85218
-0.166542	-0.259293	-1.86616
0.19302	-0.238709	-1.82694
